Code,Name,Corp_Info
005930,삼성전자,반도체 및 관련장비
000660,SK하이닉스,반도체 및 관련장비
373220,LG에너지솔루션,전자 장비 및 기기
207940,삼성바이오로직스,바이오
005380,현대차,자동차
034020,두산에너빌리티,기계
329180,HD현대중공업,조선
105560,KB금융,상업은행
012450,한화에어로스페이스,상업서비스
000270,기아,자동차
068270,셀트리온,바이오
402340,SK스퀘어,복합 산업
028260,삼성물산,복합 산업
035420,NAVER,인터넷 서비스
055550,신한지주,상업은행
042660,한화오션,조선
015760,한국전력,전력
032830,삼성생명,보험
009540,HD한국조선해양,조선
267260,HD현대일렉트릭,전기장비
012330,현대모비스,자동차부품
051910,LG화학,화학
035720,카카오,인터넷 서비스
086790,하나금융지주,상업은행
005490,POSCO홀딩스,금속 및 광물
006400,삼성SDI,전자 장비 및 기기
010130,고려아연,금속 및 광물
000810,삼성화재,보험
010140,삼성중공업,조선
064350,현대로템,운송인프라
096770,SK이노베이션,석유 및 가스
316140,우리금융지주,상업은행
009150,삼성전기,전자 장비 및 기기
138040,메리츠금융지주,증권
298040,효성중공업,전기장비
034730,SK,석유 및 가스
003670,포스코퓨처엠,화학
011200,HMM,해상운수
033780,KT&G,담배
024110,기업은행,상업은행
267250,HD현대,석유 및 가스
000150,두산,복합 산업
010120,LS ELECTRIC,전기장비
066570,LG전자,내구소비재
018260,삼성에스디에스,IT 서비스
006800,미래에셋증권,증권
030200,KT,무선통신
352820,하이브,미디어
003550,LG,복합 산업
086280,현대글로비스,육상운수
259960,크래프톤,게임 소프트웨어
042700,한미반도체,반도체 및 관련장비
017670,SK텔레콤,무선통신
326030,SK바이오팜,제약
003230,삼양식품,식료품
007660,이수페타시스,전자 장비 및 기기
047810,한국항공우주,상업서비스
323410,카카오뱅크,상업은행
278470,에이피알,개인생활용품
047050,포스코인터내셔널,무역
000100,유한양행,제약
071050,한국금융지주,증권
005830,DB손해보험,보험
010620,HD현대미포,조선
272210,한화시스템,상업서비스
443060,HD현대마린솔루션,조선
010950,S-Oil,석유 및 가스
079550,LIG넥스원,상업서비스
003490,대한항공,항공운수
005940,NH투자증권,증권
161390,한국타이어앤테크놀로지,자동차부품
090430,아모레퍼시픽,개인생활용품
000720,현대건설,건설
039490,키움증권,증권
016360,삼성증권,증권
377300,카카오페이,소비자 금융
180640,한진칼,항공운수
032640,LG유플러스,무선통신
021240,코웨이,내구소비재
029780,삼성카드,소비자 금융
034220,LG디스플레이,디스플레이 및 관련부품
000880,한화,복합 산업
006260,LS,전기장비
011070,LG이노텍,전자 장비 및 기기
128940,한미약품,제약
088980,맥쿼리인프라,운송인프라
241560,두산밥캣,기계
001040,CJ,복합 산업
078930,GS,석유 및 가스
307950,현대오토에버,IT 서비스
028050,삼성E&A,건설
066970,엘앤에프,전자 장비 및 기기
009830,한화솔루션,에너지 시설 및 서비스
454910,두산로보틱스,기계
138930,BNK금융지주,상업은행
175330,JB금융지주,상업은행
036570,엔씨소프트,게임 소프트웨어
251270,넷마블,게임 소프트웨어
062040,산일전기,전기장비
051900,LG생활건강,개인생활용품
011790,SKC,화학
271560,오리온,식료품
001440,대한전선,전기장비
111770,영원무역,섬유 및 의복
302440,SK바이오사이언스,제약
450080,에코프로머티,전자 장비 및 기기
004020,현대제철,금속 및 광물
036460,한국가스공사,가스
022100,포스코DX,IT 서비스
035250,강원랜드,호텔 및 레저
082740,한화엔진,조선
002380,KCC,건축자재
052690,한전기술,에너지 시설 및 서비스
011170,롯데케미칼,화학
017800,현대엘리베이터,기계
097950,CJ제일제당,식료품
011780,금호석유화학,화학
004990,롯데지주,복합 산업
012750,에스원,상업서비스
012510,더존비즈온,일반 소프트웨어
103140,풍산,금속 및 광물
000990,DB하이텍,반도체 및 관련장비
071970,HD현대마린엔진,조선
042670,HD현대인프라코어,기계
026960,동서,식료품
004370,농심,식료품
383220,F&F,섬유 및 의복
014680,한솔케미칼,화학
001450,현대해상,보험
000240,한국앤컴퍼니,자동차부품
103590,일진전기,전기장비
088350,한화생명,보험
030000,제일기획,미디어
008930,한미사이언스,제약
081660,미스토홀딩스,섬유 및 의복
018880,한온시스템,자동차부품
353200,대덕전자,전자 장비 및 기기
009970,영원무역홀딩스,섬유 및 의복
051600,한전KPS,전력
009420,한올바이오파마,제약
139130,iM금융지주,상업은행
001720,신영증권,증권
361610,SK아이이테크놀로지,전자 장비 및 기기
018670,SK가스,석유 및 가스
004800,효성,복합 산업
002790,아모레퍼시픽홀딩스,개인생활용품
003690,코리안리,보험
489790,한화비전,보안장비
462870,시프트업,게임 소프트웨어
139480,이마트,도소매
020150,롯데에너지머티리얼즈,전자 장비 및 기기
000120,CJ대한통운,육상운수
004170,신세계,백화점
069620,대웅제약,제약
336260,두산퓨얼셀,전자 장비 및 기기
069960,현대백화점,백화점
023530,롯데쇼핑,도소매
028670,팬오션,해상운수
204320,HL만도,자동차부품
006040,동원산업,식료품
010060,OCI홀딩스,화학
097230,HJ중공업,건설
282330,BGF리테일,도소매
192820,코스맥스,개인생활용품
005850,에스엘,자동차부품
008770,호텔신라,도소매
007070,GS리테일,도소매
112610,씨에스윈드,에너지 시설 및 서비스
